epoch,train_acc,val_acc,val_precision,val_recall,val_f1
1,0.9980,0.9996,0.9938,0.9974,0.9956
2,0.9996,0.9996,0.9967,0.9945,0.9956
3,0.9997,0.9996,0.9954,0.9975,0.9964
4,0.9997,0.9997,0.9976,0.9967,0.9971
5,0.9997,0.9996,0.9968,0.9958,0.9963
6,0.9996,0.9993,0.9874,0.9984,0.9929
7,0.9996,0.9996,0.9966,0.9945,0.9955
8,0.9996,0.9996,0.9953,0.9967,0.9960
9,0.9996,0.9996,0.9976,0.9943,0.9959
10,0.9997,0.9996,0.9948,0.9971,0.9959
11,0.9997,0.9996,0.9977,0.9945,0.9961
12,0.9997,0.9998,0.9979,0.9973,0.9976
13,0.9997,0.9997,0.9972,0.9962,0.9967
14,0.9997,0.9997,0.9959,0.9982,0.9970
15,0.9997,0.9997,0.9968,0.9981,0.9975
16,0.9997,0.9997,0.9954,0.9985,0.9969
17,0.9997,0.9997,0.9961,0.9977,0.9969
18,0.9997,0.9996,0.9974,0.9940,0.9957
19,0.9998,0.9997,0.9958,0.9973,0.9965
20,0.9997,0.9997,0.9965,0.9974,0.9969
