epoch,train_acc,val_acc,val_precision,val_recall,val_f1
1,0.3031,0.3014,0.3014,0.3225,0.3116
2,0.3934,0.6994,0.6994,0.7485,0.7231
3,0.7988,0.8591,0.8586,0.9102,0.8836
4,0.8976,0.9287,0.9405,0.9277,0.9340
5,0.9391,0.9382,0.9394,0.9378,0.9386
6,0.9520,0.9439,0.9463,0.9417,0.9440
7,0.9618,0.9419,0.9428,0.9395,0.9412
8,0.9660,0.9488,0.9486,0.9470,0.9478
9,0.9702,0.9566,0.9562,0.9562,0.9562
10,0.9725,0.9558,0.9565,0.9540,0.9552
11,0.9780,0.9603,0.9609,0.9588,0.9599
12,0.9799,0.9623,0.9627,0.9619,0.9623
13,0.9795,0.9529,0.9535,0.9522,0.9529
14,0.9833,0.9623,0.9640,0.9610,0.9625
15,0.9834,0.9484,0.9482,0.9474,0.9478
16,0.9832,0.9590,0.9601,0.9584,0.9592
17,0.9871,0.9545,0.9560,0.9527,0.9543
18,0.9838,0.9599,0.9614,0.9592,0.9603
19,0.9880,0.9586,0.9605,0.9588,0.9596
20,0.9889,0.9590,0.9609,0.9584,0.9596
